Date,S&P500,AAL,ALGT,ALK,DAL,HA,LUV,BCS,CS,DB,GS,MS,WFC,BHC,JNJ,MRK,PFE,RHHBY,UNH,AAPL,AMZN,FB,GOOG,IBM,MSFT
01-10-2015,1923.819946,39.200001,217.979996,80.230003,45.41,24.73,38.41,15.01,24.09,26.52,176.020004,31.5,51.439999,179.600006,93.169998,49.369999,31.84,33.220001,116.610001,27.395,520.719971,90.949997,611.289978,143.589996,44.610001
02-10-2015,1951.359985,38.630001,215.589996,79.260002,44.869999,24.280001,38.380001,15.39,24.639999,27.139999,177.009995,31.43,51.259998,182.320007,93.93,50.139999,33.080002,33.32,118.830002,27.594999,532.539978,92.07,626.909973,144.580002,45.57
05-10-2015,1987.050049,40.189999,216.059998,80.910004,46.959999,25.5,39.299999,15.6,25.16,28.200001,180.699997,32.290001,52.41,163.460007,94.760002,51.23,33.48,33.439999,119.650002,27.695,543.679993,94.010002,641.469971,149.039993,46.630001
06-10-2015,1979.920044,38.130001,208.600006,74.529999,45.09,24.25,38,15.55,25.379999,28.4,180.320007,32.360001,52.029999,166,93.419998,49.799999,32.790001,33.529999,116.050003,27.827499,537.47998,92.800003,645.440002,148.779999,46.75
07-10-2015,1995.829956,39.310001,213.839996,75.970001,45.990002,24.559999,38.709999,15.73,25.32,28.790001,182.229996,32.93,52.189999,169.830002,94.980003,50.950001,33.290001,32.549999,116.43,27.695,541.940002,92.400002,642.359985,150.089996,46.799999
08-10-2015,2013.430054,39.740002,212.660004,75.760002,45.959999,26.09,38.759998,15.81,24.530001,28.389999,181.070007,32.990002,52.540001,171.169998,95.080002,51.02,33.09,33.25,116.080002,27.375,533.159973,92.470001,639.159973,152.279999,47.450001
09-10-2015,2014.890015,42.419998,217.679993,75.919998,47.209999,27.290001,39.939999,15.71,24.77,29.34,179.190002,32.720001,52.139999,175.940002,95.370003,50.950001,33.240002,32.860001,119.269997,28.030001,539.799988,93.239998,643.609985,152.389999,47.110001
12-10-2015,2017.459961,43.84,227.860001,77.989998,48.5,28.129999,41.220001,15.73,25.08,29.139999,180.229996,32.799999,52.18,173.850006,95.989998,50.709999,33.220001,33,122.510002,27.9,550.190002,94.260002,646.669983,151.139999,47
13-10-2015,2003.689941,43.41,218.929993,73.919998,47.73,28.290001,40.82,15.16,24.780001,28.780001,180.970001,32.610001,51.860001,166.5,95.449997,49.470001,32.98,33.18,123.989998,27.9475,548.900024,94.120003,652.299988,149.619995,46.889999
14-10-2015,1994.23999,43.799999,214.830002,73.449997,48.59,27.809999,40.84,15.11,24.809999,28.9,179.509995,32.540001,51.5,177.289993,94.529999,49.540001,33.040001,33.02,122.07,27.5525,544.830017,94.07,651.159973,150.009995,46.68
15-10-2015,2023.859985,44.459999,216.520004,75.980003,48.93,29.25,41.240002,15.47,25.26,29.290001,184.960007,33.610001,52.689999,168.869995,97.150002,50.720001,34.080002,33.560001,120.169998,27.965,562.440002,95.959999,661.73999,150.089996,47.009998
16-10-2015,2033.109985,43.709999,214.75,75.830002,49.119999,29.610001,40.560001,15.59,25.780001,29.58,185.179993,33.950001,52.880001,177.559998,98.239998,51.48,34.41,34.18,119.980003,27.76,570.76001,97.540001,662.200012,150.389999,47.509998
19-10-2015,2033.660034,44.450001,219.949997,76.870003,50.27,31,41.41,15.74,25.76,30.299999,185.740005,32.32,52.560001,163.830002,97.940002,51.400002,34.5,33.950001,120.730003,27.932501,573.150024,98.470001,666.099976,149.220001,47.619999
20-10-2015,2030.77002,44.790001,217.660004,76.489998,50.150002,31.370001,41.380001,15.6,25.959999,30.120001,185.509995,32.25,53.080002,146.740005,97.589996,50.389999,34,33.5,120.419998,28.442499,560.880005,97,650.280029,140.639999,47.77
21-10-2015,2018.939941,44.310001,215.970001,74.730003,49.439999,32.869999,41.040001,15.22,24.98,29.799999,179.699997,31.48,53.119999,118.610001,97.629997,50.59,33.459999,33.029999,118.110001,28.440001,555.77002,97.110001,642.609985,140.919998,47.200001
22-10-2015,2052.51001,45.990002,201.009995,75.970001,50.810001,33.400002,44.080002,15.5,24.370001,30.309999,183.559998,32.349998,54.060001,109.870003,99.529999,52.009998,33.330002,33.509998,113.809998,28.875,563.909973,99.669998,651.789978,144.089996,48.029999
23-10-2015,2075.149902,45.669998,203.070007,79.089996,51,34.84,45.23,15.51,24.85,30.75,185.5,32.619999,54.75,116.160004,100.309998,52.880001,34.049999,33.950001,115.919998,29.77,599.030029,102.190002,702,144.679993,52.869999
26-10-2015,2071.179932,46.470001,201.639999,79.160004,51.32,35.59,45.77,15.44,25.110001,30.35,187.009995,32.549999,54.290001,110.040001,99.940002,52.91,34.16,33.57,116.529999,28.82,608.609985,103.769997,712.780029,143.660004,54.25
27-10-2015,2065.889893,46.459999,204.279999,77.949997,50.869999,35.110001,45.470001,15.36,24.889999,30.200001,186.309998,32.23,54.119999,109.540001,100.190002,53.470001,34.990002,33.43,119.370003,28.637501,611.01001,103.699997,708.48999,137.860001,53.689999
28-10-2015,2090.350098,45.860001,199.949997,75.190002,50.139999,34.98,45.41,15.56,25.440001,30.309999,191.320007,33.439999,55.450001,117,100.480003,55.099998,35.450001,33.889999,119.779999,29.817499,617.099976,104.199997,712.950012,140.830002,53.98
29-10-2015,2089.409912,45.860001,197.770004,75.769997,50.5,34.759998,45.82,14.47,25.030001,27.889999,189.889999,33.540001,55.09,111.5,101.370003,54.869999,34.77,33.959999,119.709999,30.1325,626.549988,104.879997,716.919983,140.550003,53.360001
30-10-2015,2079.360107,46.220001,197.449997,76.25,50.84,34.700001,46.290001,14.23,25,27.950001,187.5,32.970001,54.139999,93.769997,101.029999,54.66,33.82,33.91,117.779999,29.875,625.900024,101.970001,710.809998,140.080002,52.639999
02-11-2015,2104.050049,46.470001,195.350006,77.129997,50.700001,35.310001,46.740002,14.61,25.389999,28.540001,189.679993,33.48,54.849998,100.470001,102.169998,55.110001,35.060001,33.720001,118.690002,30.295,628.349976,103.309998,721.109985,140.369995,53.240002
03-11-2015,2109.790039,46.5,195.559998,77.68,51,36.169998,46.959999,14.47,24.59,28.370001,190.690002,33.290001,54.93,97.860001,101.959999,55.110001,34.970001,33.889999,117.660004,30.6425,625.309998,102.580002,722.159973,141.880005,54.150002
04-11-2015,2102.310059,45.630001,195.699997,77.410004,50.66,35.970001,46.639999,14.25,24.379999,27.74,191.649994,33.400002,54.580002,91.980003,101.940002,55.529999,34.139999,33.740002,114.639999,30.5,640.950012,103.940002,728.109985,141.630005,54.400002
05-11-2015,2099.929932,45.599998,198.960007,78.059998,50.540001,37,46.669998,13.99,24.24,27.52,192.020004,33.880001,54.860001,78.769997,102.330002,55.049999,34.150002,34.060001,116.230003,30.23,655.650024,108.760002,731.25,139.889999,54.380001
06-11-2015,2099.199951,45.34,202.899994,78.080002,51.200001,38.07,46.849998,14.07,24.540001,27.690001,199.169998,35.41,55.849998,81.769997,101.919998,54.610001,33.93,33.580002,114.809998,30.264999,659.369995,107.099998,733.76001,138.25,54.919998
09-11-2015,2078.580078,44.650002,196.270004,77.309998,50.630001,35.66,46.369999,14.2,24.27,27.25,196.759995,35.110001,55.470001,85.410004,100.839996,54.240002,33.650002,33.299999,114.260002,30.1425,655.48999,106.489998,724.890015,135.309998,54.16
10-11-2015,2081.719971,44.490002,194.75,78.57,50.299999,36.48,46.459999,13.99,23.99,26.76,197.809998,35.240002,55.91,83.68,101.449997,54.43,33.790001,33.09,115.889999,29.192499,659.679993,107.910004,728.320007,135.470001,53.509998
11-11-2015,2075,44.389999,190.179993,77.57,49.98,36.130001,46.720001,14.06,23.790001,26.530001,197.389999,35.02,55.799999,78.900002,101.860001,53.720001,33.740002,33.02,114.540001,29.0275,673.25,109.010002,735.400024,135.020004,53.650002
12-11-2015,2045.969971,43.900002,184.949997,76.68,49.98,35.790001,46.689999,13.67,23.389999,26.01,192.770004,34.23,55.169998,73.769997,100.269997,53.029999,33.389999,33.299999,112.82,28.93,665.599976,108.019997,731.22998,133.039993,53.32
13-11-2015,2023.040039,43.450001,185.169998,75.959999,48.990002,35.25,45.889999,13.61,23.1,25.51,190.389999,33.93,54.57,75.410004,99.879997,53.029999,33.27,33.130001,111.410004,28.084999,642.349976,103.949997,717,131.75,52.84
16-11-2015,2053.189941,42.830002,185.619995,76.849998,47.93,35.130001,45.740002,13.82,23.139999,25.6,192.160004,34.049999,55.27,73.32,101.220001,53.700001,33.16,33.279999,113.82,28.545,647.809998,104.040001,728.960022,133.710007,53.77
17-11-2015,2050.439941,42.299999,186.570007,77.540001,47.77,35.529999,45.93,13.7,22.969999,25.42,190.570007,33.59,54.959999,70.32,101.5,53.709999,32.869999,33.279999,114.389999,28.422501,643.299988,105.129997,725.299988,133.820007,52.970001
18-11-2015,2083.580078,41.75,190.139999,78.089996,47.75,35.689999,46.310001,13.92,23.129999,26.139999,193.660004,34.25,55.669998,72.599998,102.669998,54.23,33.310001,33.400002,117.25,29.3225,663.539978,107.769997,740,135.820007,53.849998
19-11-2015,2081.23999,42.299999,191.589996,79.230003,48.509998,36.779999,46.869999,14.04,23.18,26.450001,193.029999,34.169998,55.970001,84,102.489998,54.279999,32.290001,33.43,110.629997,29.695,661.27002,106.260002,738.409973,136.740005,53.939999
